iter	Logloss
0	0.6824508667
1	0.6720046997
2	0.6618702393
3	0.6519660645
4	0.6422664185
5	0.6328492432
6	0.6236373901
7	0.6147011719
8	0.605992981
9	0.5974899902
10	0.5891988525
11	0.5811389771
12	0.5732730103
13	0.565543457
14	0.5579644775
15	0.5506928101
16	0.5435490723
17	0.536645752
18	0.5297872314
19	0.5232286377
20	0.516722168
21	0.5104981384
22	0.5044255981
23	0.4984984131
24	0.4926260986
25	0.4869209595
26	0.4814484863
27	0.4761095581
28	0.4709125671
29	0.4657764893
30	0.4607835083
31	0.4559674072
32	0.4512363892
33	0.446668335
34	0.4422145996
35	0.437888092
36	0.4336678162
37	0.429551239
38	0.4254317017
39	0.421229248
40	0.4174156494
41	0.4137001953
42	0.4100612488
43	0.4065371094
44	0.4030290833
45	0.3996064453
46	0.3963459473
47	0.3931608276
48	0.3900389099
49	0.3869897766
50	0.3837086792
51	0.3808328857
52	0.3776624146
53	0.3749356079
54	0.3722843628
55	0.3697039795
56	0.3671335449
57	0.3646412354
58	0.3622380981
59	0.3598965454
60	0.3576146851
61	0.3553897095
62	0.3532197571
63	0.3508044434
64	0.3487351685
65	0.3466942749
66	0.3445936584
67	0.3426916809
68	0.3408309326
69	0.3390218506
70	0.3372525635
71	0.3354584961
72	0.3337129517
73	0.3316370239
74	0.3299934082
75	0.3284387512
76	0.3269039917
77	0.3254224243
78	0.3239721069
79	0.3224352417
80	0.3210630493
81	0.3197111816
82	0.3183973999
83	0.3168650208
84	0.3156196594
85	0.3143573914
86	0.3128979492
87	0.311682251
88	0.3105548706
89	0.3092216797
90	0.3081494141
91	0.3071011353
92	0.305796936
93	0.3045905457
94	0.3033666382
95	0.3022148743
96	0.3012703247
97	0.3003719482
98	0.2992861938
99	0.2984337769
100	0.2972232361
101	0.2961850586
102	0.295388092
103	0.2944050903
104	0.2936474609
105	0.2928383179
106	0.2921224365
107	0.2914206848
108	0.2906940918
109	0.2898172607
110	0.288971405
111	0.2881652222
112	0.2872501221
113	0.2863394165
114	0.28562854
115	0.2848892517
116	0.2841503906
117	0.2836036377
118	0.2829007263
119	0.2821891785
120	0.2815886536
121	0.2809243469
122	0.2800726929
123	0.279262146
124	0.2788103027
125	0.2783047485
126	0.2777041016
127	0.2772711182
128	0.276690918
129	0.2761087952
130	0.2755471191
131	0.2749500122
132	0.2743917847
133	0.2738719482
134	0.2734120483
135	0.2729095459
136	0.2725703125
137	0.2722424927
138	0.2719168091
139	0.2713254395
140	0.2709107056
141	0.2703363647
142	0.2699444275
143	0.2694952393
144	0.2690767212
145	0.2687206421
146	0.2681815796
147	0.2679239197
148	0.267571228
149	0.2671574097
150	0.266796051
151	0.2664303589
152	0.2662030029
153	0.2657901001
154	0.2653456421
155	0.2650082397
156	0.2646613464
157	0.2643744507
158	0.2640567932
159	0.2637593384
160	0.2633379517
161	0.2629849243
162	0.2625493774
163	0.2622225037
164	0.2618503723
165	0.2615665283
166	0.2613326111
167	0.2609630737
168	0.2607297974
169	0.2604694824
170	0.2602531128
171	0.2600199585
172	0.259741333
173	0.2594668579
174	0.2591983643
175	0.2589990845
176	0.2587220764
177	0.2584275513
178	0.258207428
179	0.2579718628
180	0.2577150269
181	0.257471405
182	0.2571769714
183	0.2569117432
184	0.2566932678
185	0.25642276
186	0.2562579956
187	0.2560748291
188	0.2558071136
189	0.2556523132
190	0.2553696594
191	0.2551346741
192	0.2549505005
193	0.2547025146
194	0.2544382935
195	0.2542741089
196	0.2541388397
197	0.2539542542
198	0.2537597656
199	0.2535308075
200	0.25331987
201	0.2531692505
202	0.253001358
203	0.2528071747
204	0.2525875854
205	0.2524581909
206	0.2523263702
207	0.2521859131
208	0.252039093
209	0.2518447571
210	0.251721283
211	0.2515272827
212	0.2514233398
213	0.2513206635
214	0.2512137146
215	0.2510905762
216	0.2509305115
217	0.2508240662
218	0.2507294922
219	0.2505693054
220	0.2503252258
221	0.2501705627
222	0.2500117493
223	0.2498412781
224	0.249772171
225	0.2495979309
226	0.2494998474
227	0.2493096924
228	0.249208252
229	0.2490863037
230	0.2489115906
231	0.2487715759
232	0.2485766296
233	0.2484945679
234	0.2483216858
235	0.2481732788
236	0.2480349426
237	0.2479877777
238	0.2479168243
239	0.2477704773
240	0.2476397095
241	0.247516922
242	0.2474480896
243	0.2473030396
244	0.2471763458
